Tom wandelt snel. 	 Tom walks quickly.
Ze was blij met haar nieuwe jurk. 	 She was pleased with her new dress.
Het einde van de wereld komt eraan. 	 The end of the world is coming.
Dit is een houten kam. 	 This is a wooden comb.
Tom woont hier ergens. 	 Tom lives around here somewhere.
Je moet roeien met de riemen die je hebt. 	 You have to work with what you have.
Beter één vogel in de hand dan tien in de lucht. 	 A bird in the hand is worth two in the bush.
Doe je eigen werk. 	 Do your own work.
De man zat op een omgevallen boom. 	 The man was sitting on a fallen tree.
Al haar liedjes werden hits. 	 All of her songs became hits.
Dit is jouw sleutel. 	 This is your key.
Ik wilde in Australië wonen. 	 I wanted to live in Australia.
Ik wachtte. 	 I waited.
We weten wat Tom wil. 	 We know what Tom wants.
Deze batterij is geladen. 	 This battery is charged.
Hoe spreek je dit woord uit? 	 How is this word pronounced?
Tom hoorde het geluid. 	 Tom heard the sound.
Breng mijn hoed. 	 Bring my hat.
Begrijp je wat ik wil zeggen? 	 Do you understand what I want to say?
Ik laat jullie niet alleen. 	 I'm not leaving you guys.
Dat is een goed teken. 	 That's a good sign.
Wie ik vandaag ben heb ik aan jou te danken. 	 I owe what I am today to you.
Wij zijn meteorologen. 	 We're meteorologists.
Ik heb er geen bezwaar tegen dat Tom naar Australië gaat met Mary. 	 I have no objection to Tom going to Australia with Mary.
Ik ga er vanuit dat je Frans spreekt. 	 I assume that you can speak French.
Deze fabriek produceert cd-spelers. 	 This factory manufactures CD players.
Ik gaf Tom een ​​handdoek. 	 I handed a towel to Tom.
Het zal niet werken. 	 It won't work.
Ze zijn beneden. 	 They're downstairs.
Is er wat ketchup? 	 Is there some ketchup?
Tom is nieuw. 	 Tom is new.
Ga je het opnieuw doen? 	 Are you going to do it over again?
Mijn hoofd doet echt pijn. 	 My head really aches.
Er was een misverstand tussen ons. 	 We've had a misunderstanding.
Wat is het dagmenu? 	 What's today's menu?
Hoe doen ze dat? 	 How're they doing that?
Ik eet niet zo veel vlees. 	 I don't eat much meat.
Houden jullie van koffie? 	 Do you like coffee?
Zijn er hier beren? 	 Are there bears around here?
Jullie waren jaloers. 	 You were jealous.
Tom zou voorzichtiger moeten zijn. 	 Tom should be more careful.
Tom hoeft zich geen zorgen te maken daarover. 	 Tom doesn't have to worry about it.
Zijn jullie teleurgesteld? 	 Are you disappointed?
Ik verkoop auto's. 	 I sell cars.
Het is een plaats die zo goed is als iedere andere. 	 That's as good a place as any.
Ik zie daar niets mis mee. 	 I see nothing wrong with that.
Ik haat computers. 	 I hate computers.
Amsterdam is een populaire bestemming voor toeristen. 	 Amsterdam is a popular destination for tourists.
We moeten te weten komen wie hij is en voor wie hij werkt. 	 We need to find out who he is and who he's working for.
Tom is nogal vaak ziek. 	 Tom gets sick quite often.
Tom gaf me deze cd voor kerst. 	 Tom gave me this CD for Christmas.
Iedereen at ontbijt in de keuken. 	 Everyone ate breakfast in the kitchen.
Ik kan Tom geen knuffel geven als hij geen knuffel wil. 	 I can't hug Tom if he doesn't want to be hugged.
Tom is nog steeds verdwaald. 	 Tom is still lost.
Geld groeit niet aan de bomen. 	 Money does not grow on trees.
Wie is de vrouw in de bruine jas? 	 Who's the woman in the brown coat?
Heeft Tom iets over zijn ongeluk gezegd? 	 Did Tom say anything about his accident?
Hebt ge gisteren gestudeerd? 	 Did you study yesterday?
Waarom eet je niet met ons mee? 	 Why won't you eat with us?
Het is jouw boek. 	 It's your book.
De trompet is een muziekinstrument. 	 The trumpet is a musical instrument.
De oorlog eindigde. 	 The war ended.
Een hoefijzer en een klavertjevier brengen geluk. 	 A horseshoe and a four-leaf clover bring good luck.
Ik moet deze mensen helpen. 	 I must help these people.
De politie is op zoek naar de dief. 	 The police are looking for the robber.
Niemand werd gewond. 	 Nobody was injured.
Tom ziet er slaperig uit. 	 Tom looks sleepy.
Hij gebruikte het woordenboek. 	 He used the dictionary.
Tom liet zijn hond uit in het park. 	 Tom walked his dog in the park.
Tom is wellicht niet in staat dat nog eens te doen. 	 Tom may not be able to do that again.
Ze speelt gitaar. 	 She plays the guitar.
Dat doen zou niet gepast zijn. 	 Doing that wouldn't be appropriate.
Ik vind haar niet leuk. 	 I don't like her.
Ons restaurant is het beste. 	 Our restaurant is the best.
Ik heb met de actrice zelf gesproken. 	 I spoke to the actress herself.
Zij spreekt Russisch. 	 She speaks Russian.
Guacamole is een dipsaus gemaakt van avocado's. 	 Guacamole is a dip made from avocados.
Dat volstaat. 	 That's enough.
Richt de videocamera op die groep. 	 Aim the video camera at that group.
Ik wou dat ik kon stoppen met denken aan Tom. 	 I wish I could stop thinking about Tom.
Dat was gênant. 	 That was awkward.
Je moet echt tegen Tom liegen over waar je afgelopen nacht was. 	 You really should lie to Tom about where you were last night.
Is dat jouw nieuwe vriendin? 	 Is that your new girlfriend?
Tom zei dat hij waarschijnlijk niet zou winnen. 	 Tom said he wasn't likely to win.
We zijn maar vrienden. 	 We're just friends.
De magie is weg. 	 The magic is gone.
Ik weet niet zo goed wat ik moet zeggen. 	 I'm not sure what to say.
Leg me de regel uit, alsjeblieft. 	 Please explain the rule to me.
Hier klopt iets niet. 	 Something's wrong here.
Mijn gehele familie maakt het erg goed. 	 My family are all very well.
De mens komt oorspronkelijk uit Afrika. 	 Humans originated in Africa.
Tom heeft vaak klachten over de kookkunsten van zijn moeder. 	 Tom often complains about his mother's cooking.
Ik wil ijs. 	 I want ice cream.
Ik denk niet dat er nog meer studenten willen komen. 	 I don't think any more students want to come.
Ik zal het je geven. 	 I will give it to you.
Tom hoeft komende maandag niet naar school. 	 Tom doesn't have to go to school next Monday.
Tom en ik wonen allebei in Australië. 	 Tom and I both live in Australia.
Vertel het Tom. 	 Tell Tom.
Verlies je handtas niet. 	 Don't lose your purse.
Tom heeft Australië in 2013 bezocht. 	 Tom visited Australia in 2013.
Dit is een cadeau voor u. 	 This is a present for you.
Gisteren is er op dat zebrapad een voetganger door een vrachtwagen overreden. 	 Yesterday a pedestrian was run over by a truck at this pedestrian crossing.
Zo hoog kan ik niet zingen. 	 I can't sing that high.
Wees specifiek. 	 Be specific.
Iedereen wil gaan. 	 Everybody wants to go.
Vind je dat Engels moeilijk is? 	 Do you think English is difficult?
Ik heb jullie een e-mail gestuurd. 	 I sent you an email.
Of je nu klaar bent of niet, ik kom er. 	 Ready or not, here I come.
Ik heb maar drie flessen bier gedronken. 	 I only drank three bottles of beer.
We voelden ons ziek. 	 We felt sick.
Tom was een heel goede persoonlijke vriend van me. 	 Tom was a close personal friend of mine.
Er zijn veel appelbomen in de tuin. 	 There are many apple trees in the garden.
Zou u me even willen excuseren? 	 Would you excuse me a moment?
Hij werkt van maandag tot vrijdag. 	 He works from Monday to Friday.
Ik voel me zoals een kind dat net ontdekt heeft dat de kerstman niet bestaat. 	 I feel like a kid who suddenly realizes that Santa Claus doesn't exist.
Ik ben hier nog nooit eerder geweest. 	 I've never been here before.
Is er zout over? 	 Is there any salt left?
Waarom hadden jullie een hamer nodig? 	 Why did you need a hammer?
We dronken veel koffie. 	 We drank a lot of coffee.
Hij accepteerde de baan. 	 He accepted the job.
Een beer heeft Tom aangevallen. 	 A bear attacked Tom.
Kun je mij vertellen wie er vanavond komen? 	 Can you tell me who's going to come tonight?
Ik leer niet zo snel. 	 I'm a slow learner.
Hoe vaak drinkt u thee? 	 How often do you drink tea?
Het spijt me. Kun je je even omdraaien? 	 I'm sorry. Would you mind turning around?
Zij interesseert zich erg voor muziek. 	 She's very interested in music.
Tom kwam bij dat ongeluk bijna om het leven. 	 Tom almost died in that accident.
Ik zal proberen snel te zijn. 	 I'll try to be quick.
Tom is bang dat hij voor aap gaat staan. 	 Tom is afraid that he's going to look stupid.
We hebben een overeenkomst gesloten. 	 We've made a deal.
Hoeveel is dit? 	 How much is this?
Wie heeft u Frans geleerd? 	 Who taught you French?
Zijn ze vrienden? 	 Are they friends?
Hij werkt in een lommerd. 	 He works at a pawn shop.
Tom is allergisch voor eieren. 	 Tom is allergic to eggs.
Je bent te zenuwachtig. 	 You're too nervous.
Twee maanden zijn voorbij sinds hij naar Frankrijk gegaan is. 	 Two months have passed since he left for France.
"Ik heb zin om te kaarten." "Ik ook." 	 "I feel like playing cards." "So do I."
Ik doe wat ik wil. 	 I'll do as I please.
Als het morgen regent, blijven we thuis. 	 If it rains tomorrow, we'll stay at home.
Ik verwacht niets van jou. 	 I don't expect anything from you.
Je leert je gezondheid te waarderen wanneer je ziek bent. 	 You learn to appreciate your health when you are ill.
Het is belangrijk om veel boeken te lezen. 	 It's important to read a lot of books.
Je zingt mooi. 	 You sing beautifully.
De soldaat was gewond aan het been. 	 The soldier was wounded in the leg.
Ondanks onze aanmoediging, besloot hij de handdoek in de ring te gooien. 	 In spite of our encouragement, he decided to throw in the towel.
Het is een fluitje van een cent. 	 It's as easy as pie.
Hebben jullie de aankondiging gelezen? 	 Have you read the notice?
Ik las jullie boek. 	 I read your book.
Ik hou van jazz. 	 I like jazz.
Tom had geen reden om het niet te doen. 	 Tom had no reason not to do it.
We skieden op kunstsneeuw. 	 We skied on artificial snow.
Geld maakt alle deuren open. 	 Money opens all doors.
Ik sprak met hem door de telefoon. 	 I spoke to him by telephone.
Je bent laat. 	 You're late.
Pak maar wat je wilt. 	 Take whatever you want.
Het is heel goedkoop. 	 It's very cheap.
De docent had interessante dia's om te laten zien. 	 The lecturer had interesting slides to show.
Ze heeft 's middags nauwelijks gegeten. 	 She barely ate her lunch.
Ik denk niet dat dit overhemd bij die rode stropdas past. 	 I don't think this shirt goes with that red tie.
Ik ben nog steeds duizelig. 	 I'm still dizzy.
Hamsters zijn schattig. 	 Hamsters are cute.
Ik zou het erg op prijs stellen als u dat voor mij zou willen doen. 	 I'd appreciate it if you did that for me.
Ik heb hen uitgenodigd voor het feest. 	 I invited them to the party.
Tom heeft de knoop weer vastgenaaid. 	 Tom sewed the button back on.
Ik ken Portugees, Engels, en Russisch. 	 I know Portuguese, English, and Russian.
Tom gaat altijd naar de supermarkt waar Mary werkt. 	 Tom always goes to the supermarket where Mary works.
Valentijnsdag valt dit jaar op een zondag. 	 Valentine's Day is on Sunday this year.
Hij kan het in drie uur doen. 	 He'll be able to make it in three hours.
Onderbreek ons gesprek niet. 	 Don't interrupt our conversation.
Hij zag gisteravond een ufo vliegen. 	 He saw a UFO flying last night.
Hij besloot niet naar de vergadering te gaan. 	 He has decided not to go to the meeting.
We zijn klaar om te gaan. 	 We're ready to go.
Tom weet niet eens hoe je water kookt. 	 Tom doesn't even know how to boil water.
Mag ik je Tom noemen? 	 May I call you Tom?
De hoofdstad van Griekenland is Athene. 	 The capital of Greece is Athens.
Ik voel me verward. 	 I'm feeling confused.
Ze vind het echt leuk om gedichten te schrijven. 	 She really likes writing poems.
Tom heeft een beetje overgewicht. 	 Tom is slightly overweight.
Hou jij van sinaasappels? 	 Do you like oranges?
Tom is een sociale drinker. 	 Tom is a social drinker.
Misschien moet je de tv uitzetten en iets anders gaan doen. 	 Maybe you should turn off the television and do something else.
Wat hij ook doet, hij doet het goed. 	 No matter what he does, he does it well.
Zij hadden niet genoeg goud. 	 They did not have enough gold.
Ik heb die deur niet van het slot gedaan. 	 I didn't unlock that door.
Tom wil niet erover praten. 	 Tom doesn't want to talk about it.
Marconi heeft de radio uitgevonden. 	 Marconi invented the radio.
U rent. 	 You run.
Het is duidelijk nep. 	 It's obviously fake.
Het is beter zo. 	 It's for the best.
De tijd zal het zeggen. 	 Time will tell.
Misschien gaat het regenen. 	 It might rain.
Tom stond naast Mary. 	 Tom was standing next to Mary.
Dat is lachwekkend. 	 That's ludicrous.
De zichtbare kleuren van de regenboog zijn rood, oranje, geel, groen, blauw, indigo en violet. 	 The visible colors of the rainbow are red, orange, yellow, green, blue, indigo, and violet.
Deze muur is groen geverfd. 	 This wall is painted green.
Heeft iemand hier ooit serieus over nagedacht? 	 Has anybody ever given serious thought to this?
Waar is de kleedkamer? 	 Where's the changing room?
Ik vertrouw zijn verhaal niet. 	 I don't trust his story.
Vreugde vulde haar hart. 	 Her heart was full of joy.
Tv is ook niet meer wat het vroeger was. 	 TV is also not what it used to be.
Hebben jullie tomaten gekocht? 	 Did you buy tomatoes?
Papa komt morgen thuis. 	 Dad is coming home tomorrow.
Laat ons een nieuw spelletje spelen. 	 Let's play a new game.
Hoe was uw verjaardag? 	 How was your birthday?
Jouw kus is zoeter dan honing. 	 Your kiss is sweeter than honey.
U lijkt niet nerveus te zijn. 	 You don't seem to be nervous.
Het gebeurde tussen acht en tien uur. 	 It happened between eight and ten.
Beschermt Tom iemand? 	 Is Tom protecting someone?
Dit is niet vrijwillig. 	 This is not voluntary.
Tom moet duidelijk weer een beetje oefenen. 	 Tom is clearly out of practice.
Tom en Maria waren ooit vrienden. 	 Tom and Mary used to be friends.
Tom las over Mary's ongeluk in de krant. 	 Tom read about Mary's accident in the newspaper.
Mijn vriendin komt uit Boston. 	 My girlfriend is from Boston.
Ik heb net gegeten. 	 I've just eaten.
Het meisje is klein voor haar leeftijd. 	 The girl is small for her age.
Ik heb geen coach nodig. 	 I don't need a coach.
Tom zit in een van de stoelen. 	 Tom is sitting in one of the chairs.
Er staat een fout in de rekening. 	 There is a mistake in the bill.
Ik heb de hele dag een lichte hoofdpijn gehad. 	 I've had a slight headache all day.
Luistert er niemand? 	 Doesn't anyone listen?
Ik vond het moeilijk om vriendelijk te zijn tegen anderen. 	 I found it difficult to be kind to others.
Tien jaar is een lange tijd om te wachten. 	 Ten years is a long time to wait.
Jullie kunnen mij beschermen. 	 You can protect me.
Heb je een dokter geroepen? 	 Did you call a doctor?
Jullie verraadden jullie land. 	 You betrayed your country.
Ik wou het je tonen. 	 I wanted to show it to you.
Hou uw hand voor uw mond wanneer u hoest, niest of geeuwt. 	 Put your hand over your mouth when you cough, sneeze or yawn.
Pas op je tenen. 	 Watch your toes.
Tom probeerde de stemming te verzachten. 	 Tom tried to lighten the mood.
Het is niet gemakkelijk van slechte gewoonten af te raken. 	 It is not easy to get rid of bad habits.
Ik dacht dat hij een arts was. 	 I thought that he was a doctor.
Vergeet het feest van volgende week niet. 	 Don't forget about the party next week.
Ik hou van muziek, in het bijzonder van klassieke muziek. 	 I like music, especially classical music.
Zijn tante heeft drie katten. 	 His aunt has three cats.
Tom slaapt. 	 Tom is sleeping.
Tom is op de derde verdieping. 	 Tom is on the third floor.
Tom is boos, maar Mary niet. 	 Tom is angry, but Mary isn't.
